dir,file,record_key,problems,name_value,label_value
A,context_100050.json,100050,missing_name;missing_label,,
A,context_100062.json,100062,missing_label,Thong-tu-17-2022-TT-BGTVT-sua-doi-Thong-tu-12-2020-TT-BGTVT-quan-ly-van-tai-bang-o-to-522401,
A,context_100109.json,100109,missing_label,Quyet-dinh-569-QD-TTg-2022-Chien-luoc-phat-trien-khoa-hoc-cong-nghe-va-doi-moi-sang-tao-512896,
A,context_100125.json,100125,missing_label,Thong-tu-122-2021-TT-BTC-to-chuc-thuc-hien-du-toan-ngan-sach-nha-nuoc-2022-501044,
A,context_100139.json,100139,missing_label,Nghi-dinh-166-2017-ND-CP-che-do-quan-ly-su-dung-tai-san-cong-cua-co-quan-Viet-Nam-o-nuoc-ngoai-37380,
A,context_100325.json,100325,missing_label,Nghi-dinh-110-2018-ND-CP-quy-dinh-ve-quan-ly-va-to-chuc-le-hoi-392665,
A,context_100363.json,100363,missing_name;missing_label,,
A,context_100380.json,100380,missing_label,Quyet-dinh-493-QD-TTg-2022-Chien-luoc-xuat-nhap-khau-hang-hoa-den-2030-510826,
A,context_100419.json,100419,missing_name;missing_label,,
A,context_100453.json,100453,missing_label,Thong-tu-19-2012-TT-BKHCN-quy-dinh-kiem-soat-va-bao-dam-an-toan-buc-xa-152634,
A,context_100458.json,100458,missing_label,Thong-tu-07-2013-TT-BLDTBXH-tieu-chuan-nghiep-vu-cong-tac-vien-cong-tac-xa-hoi-190728,
A,context_100472.json,100472,missing_label,Quyet-dinh-07-2015-QD-TTg-quan-ly-thuc-hien-Chuong-trinh-phat-trien-thuong-mai-dien-tu-quoc-gia-2671,
A,context_10053.json,10053,missing_label,Nghi-dinh-75-2015-ND-CP-bao-ve-phat-trien-rung-gan-giam-ngheo-nhanh-ben-vung-ho-tro-dong-bao-dan-toc,
A,context_100545.json,100545,missing_label,Quyet-dinh-12-2022-QD-UBND-han-muc-giao-dat-o-cong-nhan-dat-o-thua-dat-co-vuon-ao-Hai-Duong-531273,
A,context_100548.json,100548,missing_label,Quyet-dinh-1669-QD-TLD-2019-Quy-che-phat-ngon-va-cung-cap-thong-tin-cho-bao-chi-429140,
A,context_100642.json,100642,missing_name;missing_label,,
A,context_100667.json,100667,missing_label,Quyet-dinh-696-QD-BTNMT-2018-chuc-nang-Trung-tam-Du-bao-khi-tuong-thuy-van-quoc-gia-376991,
A,context_100668.json,100668,missing_label,Quyet-dinh-39-2007-QD-BYT-Quy-che-xet-duyet-cap-Giay-chung-nhan-bai-thuoc-gia-truyen-59132,
A,context_100686.json,100686,missing_label,Nghi-dinh-99-2003-ND-CP-Quy-che-Khu-cong-nghe-cao-51305,
A,context_100718.json,100718,missing_label,Thong-tu-21-2014-TT-BTP-mau-trang-phuc-quan-ly-su-dung-trang-phuc-Tro-giup-vien-phap-ly-257154,
A,context_100761.json,100761,missing_label,Thong-tu-03-2013-TT-BNV-huong-dan-to-chuc-hoat-dong-va-quan-ly-hoi-186607,
A,context_100833.json,100833,missing_label,Quyet-dinh-1922-QD-KTNN-2021-chuc-danh-cac-ngach-Kiem-toan-vien-Nha-nuoc-496108,
A,context_100844.json,100844,missing_label,Thong-tu-04-2020-TT-TANDTC-quy-trinh-bo-nhiem-bo-nhiem-lai-mien-nhiem-hoa-giai-vien-458541,
A,context_100869.json,100869,missing_label,Thong-tu-53-2019-TT-BGTVT-muc-gia-khung-gia-dich-vu-chuyen-nganh-hang-khong-tai-san-bay-386323,
A,context_100881.json,100881,missing_label,Thong-tu-07-2016-TT-BTNMT-bo-du-lieu-chuan-du-lieu-xay-dung-quan-ly-co-so-du-lieu-khi-tuong-thuy-van,
A,context_100945.json,100945,missing_label,Nghi-dinh-113-2015-ND-CP-phu-cap-dac-thu-trach-nhiem-cong-viec-nguy-hiem-nha-giao-co-so-giao-duc-ngh,
A,context_101100.json,101100,missing_label,Quyet-dinh-145-QD-BNV-cap-giay-phep-thanh-lap-cong-nhan-Dieu-le-Quy-Tu-thien-Nga-Ba-Dong-Loc-101445,
A,context_101144.json,101144,missing_label,Quyet-dinh-2085-QD-BTNMT-2021-vi-tri-cong-tac-doi-voi-cong-chuc-khong-giu-chuc-vu-lanh-dao-494845,
A,context_101158.json,101158,missing_label,Quyet-dinh-268-2000-QD-BGTVT-Tieu-chuan-chuc-trach-nhiem-vu-Dang-kiem-vien-phuong-tien-thuy-noi-dia-,
A,context_101199.json,101199,missing_label,Thong-tu-04-2015-TT-BTP-huong-dan-tap-su-hanh-nghe-cong-chung-272899,
A,context_101244.json,101244,missing_label,Thong-tu-13-2012-TT-BTC-bao-hiem-bat-buoc-nghe-nghiep-trach-nhiem-135307,
A,context_101296.json,101296,missing_label,Huong-dan-3579-NHCS-KHNV-tien-gui-tiet-kiem-tai-Ngan-hang-Chinh-sach-xa-hoi-422680,
A,context_101298.json,101298,missing_name;missing_label,,
A,context_101314.json,101314,missing_label,Quyet-dinh-535-QD-TTg-2023-De-an-Phat-trien-nang-cao-nang-luc-tim-kiem-cuu-nan-den-2030-566993,
A,context_101341.json,101341,missing_name;missing_label,,
A,context_101358.json,101358,missing_label,Nghi-quyet-953-NQ-UBTVQH13-2015-thanh-lap-Vien-kiem-sat-nhan-dan-cap-cao-278085,
A,context_101375.json,101375,missing_label,Quyet-dinh-1394-QD-BKHCN-2019-ve-Quy-che-kiem-soat-thu-tuc-hanh-chinh-419271,
A,context_101445.json,101445,missing_name;missing_label,,
A,context_101453.json,101453,missing_label,Thong-tu-22-2016-TT-BTTTT-huong-dan-quan-ly-hoat-dong-thong-tin-doi-ngoai-tinh-thanh-pho-326917,
A,context_10148.json,10148,missing_label,Thong-tu-08-2017-TT-BTP-huong-dan-Luat-Tro-giup-phap-ly-giay-to-tro-giup-phap-ly-371153,
A,context_101491.json,101491,missing_label,Quyet-dinh-82-QD-BNV-2023-Ke-hoach-thong-tin-tuyen-truyen-cai-cach-hanh-chinh-554829,
A,context_101494.json,101494,missing_label,Huong-dan-03-HD-TW-2020-thuc-hien-Quy-che-bau-cu-trong-Dang-438508,
A,context_101508.json,101508,missing_name;missing_label,,
A,context_101544.json,101544,missing_label,Thong-tu-26-2018-TT-NHNN-quy-dinh-dieu-tra-thong-ke-tien-te-hoat-dong-ngan-hang-va-ngoai-hoi-384207,
A,context_101555.json,101555,missing_label,Quyet-dinh-88-2000-QD-BTM-danh-muc-hang-hoa-cam-luu-thong-dich-vu-thuong-mai-cam-thuc-hien-han-che-k,
A,context_101591.json,101591,missing_name;missing_label,,
A,context_101603.json,101603,missing_label,Thong-tu-10-2019-TT-BVHTTDL-xet-thang-hang-chuc-danh-vien-chuc-nganh-thu-vien-di-san-van-hoa-426113,
A,context_101609.json,101609,missing_label,Quyet-dinh-1252-QD-BTM-2007-Quy-che-quy-dinh-trinh-tu-thu-tuc-danh-gia-Giai-thuong-xuat-khau-252912,
A,context_101613.json,101613,missing_label,Thong-tu-47-2014-TT-BTNMT-ky-thuat-thanh-lap-ban-do-hanh-chinh-cac-cap-252306,
A,context_101679.json,101679,missing_label,Thong-tu-27-2011-TT-BGDDT-Quy-che-cong-tac-hoc-sinh-sinh-vien-noi-tru-125897,
A,context_101733.json,101733,missing_name;missing_label,,
A,context_101752.json,101752,missing_label,Nghi-quyet-06-2020-NQ-HDND-thu-phi-le-phi-thuoc-tham-quyen-quyet-dinh-Hoi-dong-Ha-Noi-447524,
A,context_101814.json,101814,missing_label,Thong-tu-155-2013-TT-BTC-quy-dinh-thoi-han-bao-quan-ho-so-tai-chinh-213779,
A,context_101819.json,101819,missing_label,Thong-tu-14-2022-TT-BTTTT-danh-muc-chat-luong-dich-vu-vien-thong-cong-ich-536121,
A,context_10188.json,10188,missing_label,Thong-tu-99-2018-TT-BTC-lap-bao-cao-tai-chinh-tong-hop-cua-don-vi-ke-toan-cap-tren-400910,
A,context_101885.json,101885,missing_label,Thong-tu-09-2023-TT-BTC-lap-du-toan-quyet-toan-kinh-phi-cong-tac-xu-ly-ra-soat-van-ban-quy-pham-5540,
A,context_101987.json,101987,missing_label,Thong-tu-24-2017-TT-BCT-quy-dinh-dinh-muc-tieu-hao-nang-luong-trong-san-xuat-giay-350158,
A,context_101995.json,101995,missing_label,Thong-tu-02-2020-TT-BVHTTDL-bao-quan-thanh-loc-tai-nguyen-thong-tin-su-dung-trong-thu-vien-444064,
